,PCE_before,PCE_after,PCE_delta,PCE_before_ceil,PCE_before_x,PCE_before_ceil_x,PCE_before_median_x,PCE_before_mean_x
1891,16.52676986,15.7604206,4.637017814,17,3,16.76745839,15.28330418,15.37391053
1892,16.89432754,15.94975484,5.591064204,17,4,19.24496343,18.06233812,18.02807995
1893,17.05765087,15.66727759,8.151024384,18,4,19.24496343,18.06233812,18.02807995
1894,22.24150611,18.3761949,17.37881954,23,5,28.98172701,20.98497404,21.32565512
1895,20.57238712,18.0404403,12.30750136,21,5,28.98172701,20.98497404,21.32565512
1896,22.78172806,18.60775015,18.32160358,23,5,28.98172701,20.98497404,21.32565512
1897,19.58210572,17.81662196,9.015801359,20,5,28.98172701,20.98497404,21.32565512
1898,16.28684018,13.13039369,19.3803491,17,3,16.76745839,15.28330418,15.37391053
1899,17.24467354,15.04248273,12.77026672,18,4,19.24496343,18.06233812,18.02807995
1900,18.45920864,15.32027568,17.0046995,19,4,19.24496343,18.06233812,18.02807995
1901,17.30770131,15.81036356,8.651280281,18,4,19.24496343,18.06233812,18.02807995
1902,17.57030026,13.24072542,24.64143908,18,4,19.24496343,18.06233812,18.02807995
1903,18.2472702,11.03869071,39.50497478,19,4,19.24496343,18.06233812,18.02807995
1904,13.43918907,10.89994618,18.8943163,14,2,14.15807755,12.39123084,12.39098432
1905,17.41718813,9.727256291,44.15139679,18,4,19.24496343,18.06233812,18.02807995
1906,18.78923335,9.027079256,51.95610653,19,4,19.24496343,18.06233812,18.02807995
1907,16.7889254,14.38501281,14.31844226,17,4,19.24496343,18.06233812,18.02807995
1908,14.01568178,9.758739081,30.37271225,15,2,14.15807755,12.39123084,12.39098432
1909,16.01254421,8.609388703,46.23347425,17,3,16.76745839,15.28330418,15.37391053
1910,18.16789404,10.79692065,40.57142437,19,4,19.24496343,18.06233812,18.02807995
1911,18.04536405,9.298501733,48.47152039,19,4,19.24496343,18.06233812,18.02807995
1912,18.20997906,13.11360998,27.98668281,19,4,19.24496343,18.06233812,18.02807995
1913,18.4940359,10.75789019,41.8304893,19,4,19.24496343,18.06233812,18.02807995
1914,18.19479494,9.86815713,45.7638453,19,4,19.24496343,18.06233812,18.02807995
1915,18.1407579,9.803306989,45.95977168,19,4,19.24496343,18.06233812,18.02807995
1916,18.5512708,8.872808345,52.17142566,19,4,19.24496343,18.06233812,18.02807995
1917,18.52443361,9.835592132,46.90476189,19,4,19.24496343,18.06233812,18.02807995
1918,19.22650395,9.022465322,53.07277213,20,4,19.24496343,18.06233812,18.02807995
1919,18.78223695,9.722996985,48.23301924,19,4,19.24496343,18.06233812,18.02807995
1920,18.07004347,10.62983745,41.17425633,19,4,19.24496343,18.06233812,18.02807995
1921,15.2558229,9.822001036,35.61801878,16,3,16.76745839,15.28330418,15.37391053
1922,18.2453681,14.50602904,20.49473069,19,4,19.24496343,18.06233812,18.02807995
